"","species","decimallongitude","decimallatitude","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","tmin1","tmin10","tmin11","tmin12","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9"
"45","Ginkgo_biloba",3.42571,50.89209,102,167,33,729,73,45,13,210,148,195,174,69,32,5288,216,4,212,74,62,4,81,43,17,10,27,53,86,112,130,132,115
"46","Ginkgo_biloba",3.70978,50.76737,99,166,28,788,76,51,11,221,169,207,193,74,33,5421,217,-2,219,68,60,-2,75,37,10,5,22,48,80,108,125,126,109
"47","Ginkgo_biloba",4.05708,50.93284,103,171,31,773,73,50,11,216,165,202,187,76,34,5501,223,0,223,72,64,0,80,39,11,8,26,52,84,113,128,130,113
"48","Ginkgo_biloba",5.1,52.05,93,161,26,803,79,47,16,230,158,216,194,75,34,5338,214,-5,219,66,50,-5,70,33,7,-4,14,37,76,104,122,120,99
"49","Ginkgo_biloba",6.3,52.2,94,164,23,766,78,46,15,222,149,222,183,77,34,5522,216,-8,224,164,52,-8,67,31,6,-7,22,38,76,105,122,120,99
"50","Ginkgo_biloba",-5.995481,37.419647,186,267,110,571,86,1,63,243,18,22,229,122,39,6123,362,56,306,119,265,56,137,98,66,68,91,110,138,170,194,197,176
"51","Ginkgo_biloba",4.00374,43.64546,139,214,65,753,107,24,33,251,114,114,206,101,37,5809,286,14,272,147,214,14,98,56,26,20,51,76,111,142,165,163,141
"52","Ginkgo_biloba",2.11263,47.16422,111,183,37,696,71,49,9,182,159,168,176,92,37,5676,248,1,247,47,74,1,72,36,12,4,27,52,85,116,133,132,112
"53","Ginkgo_biloba",2.61938,48.84605,110,183,36,644,59,44,8,170,141,165,156,87,35,5703,245,2,243,167,73,2,72,39,15,7,28,54,86,117,136,134,111
"54","Ginkgo_biloba",-0.71209,44.95168,126,192,59,950,107,52,20,304,184,184,278,97,40,5166,256,19,237,68,192,19,84,50,27,22,45,64,94,126,141,140,123
"55","Ginkgo_biloba",0.19078,49.70215,103,163,43,728,83,49,19,228,153,153,198,80,38,4755,219,10,209,77,93,10,72,40,21,12,25,47,76,103,122,121,103
"56","Ginkgo_biloba",2.65061,48.05322,111,183,36,647,64,45,9,173,143,163,161,90,36,5723,247,2,245,167,74,2,71,37,13,5,28,53,86,117,135,133,111
"57","Ginkgo_biloba",2.49843,48.69547,111,183,36,647,60,45,8,171,143,164,158,85,35,5720,244,4,240,168,73,4,74,39,15,8,30,56,88,119,138,136,113
"58","Ginkgo_biloba",-0.38957,49.15556,108,166,49,677,79,39,18,210,141,146,176,80,38,4637,222,16,206,116,72,16,77,45,27,17,32,53,81,106,124,125,108
"59","Ginkgo_biloba",139.590033,36.752794,92,196,-11,2016,365,55,60,955,183,955,183,94,29,8107,253,-68,321,196,-11,-68,67,11,-40,-65,-35,18,68,118,164,171,136
"60","Ginkgo_biloba",128.517968,35.791272,120,235,-2,1193,260,20,77,648,80,648,80,107,29,9209,294,-68,362,235,-2,-68,74,14,-44,-48,-4,53,106,158,206,209,150
"61","Ginkgo_biloba",120.580441,31.336317,155,261,47,966,152,32,50,420,115,420,145,75,24,8403,311,5,306,261,119,5,147,75,22,12,40,94,148,200,239,237,196
"62","Ginkgo_biloba",-79.114688,43.104647,83,199,-38,900,93,61,11,245,198,236,212,93,26,9228,266,-86,352,157,-31,-86,56,7,-53,-83,-40,17,71,128,160,153,111
"63","Ginkgo_biloba",-0.219331,51.378931,106,170,47,636,62,40,13,185,133,151,161,81,37,4823,228,13,215,79,69,13,73,40,23,16,29,52,81,111,129,124,102
"64","Ginkgo_biloba",-80.731789,40.306287,100,209,-18,1003,110,61,18,313,199,301,199,118,32,8790,282,-81,363,190,-18,-81,48,2,-48,-70,-20,29,85,134,159,150,113
"65","Ginkgo_biloba",-79.912178,40.42923,102,212,-15,976,102,60,17,297,196,289,196,125,33,8756,289,-80,369,191,-15,-80,46,4,-46,-71,-21,26,81,130,155,148,110
"66","Ginkgo_biloba",120.6941,31.330942,155,261,47,996,162,33,50,432,120,432,146,75,24,8398,311,4,307,261,119,4,146,76,22,13,40,95,149,200,239,237,197
"67","Ginkgo_biloba",5.2807,50.95617,98,169,27,804,77,53,10,221,172,221,194,78,34,5557,222,-4,226,169,58,-4,71,33,7,0,19,45,80,110,126,125,103
"68","Ginkgo_biloba",-70.53788,-33.35442,138,191,84,444,102,1,96,277,6,6,266,159,58,4154,290,18,272,91,185,106,58,76,99,96,81,55,38,21,18,21,33
"69","Ginkgo_biloba",-70.532324,-33.356361,138,191,84,444,102,1,96,277,6,6,266,159,58,4154,290,18,272,91,185,106,58,76,99,96,81,55,38,21,18,21,33
"70","Ginkgo_biloba",114.045867,26.665178,155,249,52,1657,246,49,47,701,184,529,220,77,25,7654,302,5,297,195,71,5,126,71,21,20,62,118,163,197,221,213,179
"71","Ginkgo_biloba",16.408897,48.229752,100,193,6,620,74,35,25,212,114,212,116,97,32,7253,263,-36,299,193,19,-36,51,15,-17,-24,4,45,90,125,139,135,97
"72","Ginkgo_biloba",3.70845,51.05242,102,168,33,753,74,47,13,217,154,200,181,67,31,5332,215,5,210,74,61,5,84,44,17,10,27,53,86,115,132,134,117
"73","Ginkgo_biloba",-73.952693,40.770786,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"74","Ginkgo_biloba",-85.280796,34.973283,148,246,45,1390,157,84,17,416,282,307,392,130,38,7784,318,-23,341,62,205,-23,78,29,-7,-9,32,75,123,170,193,188,151
"75","Ginkgo_biloba",8.370466,49.218774,103,185,19,682,78,43,18,214,137,214,148,87,32,6501,250,-15,265,185,31,-15,63,24,-2,-7,16,49,87,121,139,134,105
"76","Ginkgo_biloba",-73.952545,40.770672,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"77","Ginkgo_biloba",-73.952265,40.770475,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"78","Ginkgo_biloba",8.06758,47.37663,94,174,13,988,123,60,27,347,186,347,188,81,31,6316,237,-20,257,174,25,-20,63,17,-11,-11,12,42,81,113,132,128,103
"79","Ginkgo_biloba",6.88523,46.47747,75,155,-8,1033,104,70,11,282,229,282,268,88,32,6347,221,-48,269,155,69,-48,42,0,-34,-38,-12,20,58,91,109,104,83
"80","Ginkgo_biloba",8.7946,47.3254,88,168,5,1133,136,64,27,400,201,400,210,78,30,6355,228,-28,256,168,17,-28,60,13,-15,-19,5,36,76,108,129,125,100
"81","Ginkgo_biloba",6.11068,46.20113,101,184,18,946,98,68,11,256,221,242,227,91,32,6488,256,-20,276,108,95,-20,66,23,-9,-9,10,46,81,116,136,130,105
"82","Ginkgo_biloba",9.54888,46.32423,25,96,-44,1272,154,67,26,429,216,429,216,63,28,5633,144,-79,223,96,-41,-79,13,-34,-64,-76,-55,-28,13,47,71,68,49
"83","Ginkgo_biloba",6.62347,46.56585,87,168,3,995,101,68,12,273,219,273,250,90,33,6404,236,-36,272,168,81,-36,51,10,-23,-25,-2,31,68,102,120,115,93
"84","Ginkgo_biloba",6.6893,46.52132,85,166,1,986,100,67,11,270,218,270,249,90,33,6404,234,-38,272,166,80,-38,50,8,-25,-27,-4,30,67,100,118,113,91
"85","Ginkgo_biloba",7.01332,46.74789,78,157,-4,994,111,67,15,294,212,294,242,86,32,6286,221,-43,264,157,35,-43,44,2,-29,-33,-9,23,61,94,111,107,86
"86","Ginkgo_biloba",7.20865,46.97334,88,168,6,913,111,58,20,291,186,291,205,86,32,6318,232,-29,261,168,46,-29,53,10,-20,-21,2,33,71,104,122,117,95
"87","Ginkgo_biloba",6.04591,46.20035,101,184,17,949,98,68,11,256,223,241,229,91,32,6483,256,-20,276,107,95,-20,65,23,-9,-9,11,45,81,115,135,130,105
"88","Ginkgo_biloba",8.66027,47.23695,88,168,7,1153,141,66,27,409,207,409,212,77,30,6316,227,-27,254,168,18,-27,61,14,-14,-17,7,38,77,109,129,125,101
"89","Ginkgo_biloba",6.11177,46.15616,99,182,15,961,99,69,11,258,227,244,232,91,32,6510,254,-23,277,105,92,-23,63,21,-12,-12,7,43,79,113,133,127,103
"90","Ginkgo_biloba",9.05366,47.14213,84,164,1,1192,144,67,28,422,206,422,215,79,30,6347,223,-34,257,164,13,-34,56,9,-21,-25,1,32,72,105,126,122,97
"91","Ginkgo_biloba",8.46133,47.19391,94,174,12,1111,140,64,30,403,197,403,198,78,30,6336,235,-22,257,174,24,-22,65,18,-10,-12,12,43,82,114,134,130,106
"92","Ginkgo_biloba",7.60236,46.79355,84,164,3,957,117,59,21,312,196,312,210,83,32,6298,226,-33,259,164,41,-33,52,7,-23,-24,-1,30,70,102,122,117,94
"93","Ginkgo_biloba",9.52191,47.31456,73,154,-12,1176,145,65,29,424,204,424,218,84,31,6453,212,-51,263,154,1,-51,42,-3,-38,-42,-13,21,61,94,114,110,84
"94","Ginkgo_biloba",6.04706,46.15538,100,182,16,956,99,69,11,257,227,242,230,91,32,6469,254,-22,276,106,93,-22,64,22,-11,-11,8,44,80,114,133,128,104
"95","Ginkgo_biloba",8.57418,46.29322,53,130,-22,1421,161,82,22,457,255,457,255,68,28,5965,182,-57,239,130,-22,-57,32,-13,-42,-52,-28,-1,41,76,100,96,73
"96","Ginkgo_biloba",6.94583,46.97251,90,170,7,927,110,60,19,286,189,286,213,89,33,6346,236,-29,265,170,48,-29,53,12,-18,-20,4,34,72,105,123,118,96
"97","Ginkgo_biloba",6.82013,46.47713,84,164,0,969,100,65,12,268,213,268,245,90,32,6394,232,-41,273,164,41,-41,49,7,-27,-29,-5,28,66,99,117,112,90
"98","Ginkgo_biloba",6.55826,46.56536,93,174,8,952,98,65,12,263,209,263,234,91,33,6446,243,-30,273,174,51,-30,56,15,-18,-19,3,37,74,107,125,120,97
"99","Ginkgo_biloba",7.27381,47.15335,89,169,7,923,111,59,19,293,189,293,207,85,33,6311,232,-25,257,169,47,-25,54,11,-18,-18,4,34,72,105,123,119,97
"100","Ginkgo_biloba",8.86675,47.54942,95,177,10,998,119,54,26,347,178,347,188,82,31,6495,239,-23,262,177,23,-23,64,17,-10,-15,11,41,81,114,134,130,104
"101","Ginkgo_biloba",8.26829,47.51028,89,168,7,1055,126,65,24,361,205,361,209,80,31,6319,229,-27,256,168,19,-27,59,13,-15,-18,6,37,76,108,127,122,98
"102","Ginkgo_biloba",8.46219,47.23888,90,169,8,1137,142,67,29,408,205,408,208,77,30,6281,229,-25,254,169,20,-25,62,15,-13,-15,8,39,78,110,130,125,102
"103","Ginkgo_biloba",5.05139,51.24396,97,167,27,796,74,50,11,214,169,211,194,76,34,5510,219,-4,223,65,57,-4,72,33,7,0,19,44,80,109,125,124,103
"104","Ginkgo_biloba",-73.952725,40.770642,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"105","Ginkgo_biloba",-73.951976,40.770338,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"106","Ginkgo_biloba",-94.790288,39.160967,128,247,-2,968,131,29,44,362,97,341,97,112,28,9676,318,-70,388,226,-2,-70,83,13,-41,-43,4,70,129,176,203,191,146
"107","Ginkgo_biloba",-73.951684,40.770198,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"108","Ginkgo_biloba",-73.952353,40.770526,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"109","Ginkgo_biloba",-3.299188,51.666697,87,154,27,1231,143,75,22,407,229,247,372,64,31,4955,201,-1,202,36,139,-1,57,27,8,2,13,42,74,106,124,118,93
"110","Ginkgo_biloba",-77.160567,39.123025,122,229,9,1047,105,71,11,296,223,290,223,119,33,8514,301,-54,355,208,9,-54,66,17,-30,-43,1,51,105,153,180,173,133
"111","Ginkgo_biloba",121.411912,24.673872,175,222,121,2816,405,106,45,1138,353,1138,353,65,36,4019,259,82,177,222,121,82,154,127,98,85,108,135,169,185,193,193,183
"112","Ginkgo_biloba",150.65939,-33.761639,166,220,106,934,129,40,35,350,132,323,164,128,50,4457,286,30,256,218,116,164,103,125,149,166,149,112,75,49,30,44,69
"113","Ginkgo_biloba",115.809199,25.600542,198,279,103,1603,269,40,59,754,142,533,198,91,31,6893,337,47,290,235,121,47,163,110,59,68,109,159,200,227,239,236,214
"114","Ginkgo_biloba",175.283729,-37.766267,140,182,97,1259,130,80,15,381,260,260,381,94,48,3285,240,46,194,97,182,134,89,105,121,138,125,102,75,55,46,57,74
"115","Ginkgo_biloba",-73.968279,40.804706,119,230,4,1151,107,78,9,308,256,299,256,91,26,8774,293,-47,340,105,4,-47,83,37,-16,-38,4,55,111,164,194,187,145
"116","Ginkgo_biloba",-73.949977,40.773841,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"117","Ginkgo_biloba",-75.706035,39.704393,122,231,8,1090,109,72,11,307,240,302,240,111,31,8617,301,-50,351,224,8,-50,72,23,-25,-40,1,51,106,158,186,177,137
"118","Ginkgo_biloba",-73.951744,40.770334,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"119","Ginkgo_biloba",-73.952269,40.770653,121,233,7,1127,105,77,9,303,253,294,253,88,26,8770,293,-42,335,106,7,-42,89,41,-11,-34,7,58,114,167,199,192,149
"120","Ginkgo_biloba",6.2,52,95,165,23,764,77,48,15,223,149,223,185,77,34,5556,217,-7,224,165,54,-7,68,32,7,-6,22,41,78,107,124,122,101
"121","Ginkgo_biloba",6.85,52.75,89,158,18,781,81,45,16,225,149,225,185,77,34,5479,212,-13,225,158,46,-13,64,28,1,-13,10,33,71,99,116,114,93
"122","Ginkgo_biloba",-2.954522,43.269846,139,192,90,1180,155,46,31,405,183,216,405,61,35,4007,231,61,170,90,189,61,123,85,68,61,77,88,118,145,165,166,151
"123","Ginkgo_biloba",4.9,52.05,94,162,28,799,83,46,17,233,158,211,192,71,33,5318,212,-3,215,105,50,-3,74,36,9,-1,16,40,78,106,125,124,102
"124","Ginkgo_biloba",7.74063,53.038192,88,159,14,784,84,47,17,237,148,237,182,75,32,5722,209,-19,228,159,42,-15,64,27,3,-19,6,35,72,103,120,117,94
"125","Ginkgo_biloba",6.95,52.2,91,161,21,786,79,45,14,223,159,223,190,78,34,5503,215,-10,225,161,50,-10,65,28,2,-9,15,36,74,102,119,116,94
"126","Ginkgo_biloba",5.91658,45.56954,108,190,20,891,89,59,10,246,205,216,205,101,34,6564,264,-26,290,113,20,-26,66,25,-13,-14,17,50,86,119,137,132,109
"127","Ginkgo_biloba",3.05367,45.80634,100,173,27,668,91,34,32,223,108,210,116,102,39,5705,243,-16,259,155,38,-16,56,22,-4,-13,10,35,68,103,120,118,98
"128","Ginkgo_biloba",3.05289,45.79739,100,173,27,668,91,34,32,223,108,210,116,102,39,5705,243,-16,259,155,38,-16,56,22,-4,-13,10,35,68,103,120,118,98
"129","Ginkgo_biloba",5.70572,45.15319,108,189,22,881,85,53,12,250,202,202,203,102,35,6433,261,-26,287,114,189,-26,66,26,-12,-16,19,50,86,118,136,132,110
"130","Ginkgo_biloba",5.72346,45.14075,110,190,23,864,85,52,12,247,198,198,198,102,35,6447,263,-24,287,115,190,-24,68,27,-11,-15,21,52,88,120,138,134,112
"131","Ginkgo_biloba",3.59639,44.3226,101,176,28,754,77,46,16,220,160,180,167,99,37,5772,249,-14,263,148,37,-14,61,23,-2,-13,12,34,68,101,123,122,101
"132","Ginkgo_biloba",2.73871,47.68295,108,181,33,692,70,48,9,185,153,173,174,92,37,5722,245,-1,246,165,70,-1,67,34,9,1,24,49,83,114,131,129,108
"133","Ginkgo_biloba",5.91712,45.56959,108,190,20,888,89,59,11,245,204,216,204,101,34,6579,264,-26,290,113,20,-26,66,25,-13,-14,16,50,86,119,137,132,109
"134","Ginkgo_biloba",2.70016,48.4026,109,182,35,642,62,44,8,172,141,164,158,89,36,5732,245,1,244,166,72,1,71,37,13,5,27,53,85,116,135,132,110
"135","Ginkgo_biloba",0.39956,45.52149,117,186,47,913,99,54,15,277,191,191,261,101,40,5401,255,7,248,56,186,7,71,40,17,10,33,53,84,117,132,130,112
"136","Ginkgo_biloba",7.44419,48.26101,101,183,19,617,77,33,29,213,106,213,107,86,33,6374,248,-12,260,183,32,-12,64,22,-5,-6,17,47,85,118,136,131,104
"137","Ginkgo_biloba",4.96262,45.69507,114,196,29,806,85,53,17,234,162,211,162,95,34,6461,266,-10,276,162,29,-10,72,34,1,-3,27,54,91,126,146,142,117
"138","Ginkgo_biloba",3.05362,45.8063,100,173,27,668,91,34,32,223,108,210,116,102,39,5705,243,-16,259,155,38,-16,56,22,-4,-13,10,35,68,103,120,118,98
"139","Ginkgo_biloba",5.91712,45.56956,108,190,20,888,89,59,11,245,204,216,204,101,34,6579,264,-26,290,113,20,-26,66,25,-13,-14,16,50,86,119,137,132,109
"140","Ginkgo_biloba",-73.916214,40.895152,116,227,1,1159,108,79,9,311,260,299,260,95,27,8753,292,-51,343,102,1,-51,79,33,-21,-42,0,51,106,158,189,182,140
"141","Ginkgo_biloba",-77.198412,38.965778,127,235,14,1021,100,69,12,287,218,287,218,120,33,8522,307,-49,356,235,14,-49,70,21,-26,-37,5,55,109,159,186,178,138
"142","Ginkgo_biloba",78.253647,31.538683,122,185,45,843,111,20,38,302,115,180,235,92,36,5556,242,-11,253,57,89,-11,79,39,8,4,43,84,120,142,147,144,122
"143","Ginkgo_biloba",-77.353638,38.916578,125,232,12,1021,100,70,11,283,220,283,220,120,33,8513,303,-52,355,232,12,-52,67,19,-28,-39,3,53,107,156,183,175,135
"144","Ginkgo_biloba",133.406631,33.719852,105,205,5,2260,354,56,51,916,225,838,230,74,25,7775,250,-43,293,172,29,-43,87,34,-17,-38,-7,48,95,139,183,188,152
"145","Ginkgo_biloba",128.113639,35.036361,127,232,14,1582,302,25,70,794,104,753,107,99,29,8541,289,-51,340,232,36,-51,91,29,-27,-36,6,63,112,160,209,211,162
"146","Ginkgo_biloba",127.010742,36.447592,118,238,-9,1284,294,29,79,705,97,705,97,113,29,9606,300,-77,377,238,-9,-77,68,6,-49,-57,-11,46,105,161,207,205,145
"147","Ginkgo_biloba",127.947517,36.48835,99,219,-30,1267,315,26,82,710,90,710,90,111,29,9651,280,-97,377,219,-30,-97,48,-11,-68,-76,-27,31,85,141,187,187,125
"148","Ginkgo_biloba",128.227139,35.04575,130,236,17,1541,294,25,69,771,103,732,105,100,29,8542,292,-49,341,234,39,-49,93,31,-24,-34,9,66,114,163,211,215,165
"149","Ginkgo_biloba",126.841944,36.156111,123,240,0,1267,283,32,76,676,105,676,105,102,28,9345,299,-62,361,240,0,-62,80,20,-34,-45,-2,53,112,167,213,213,154
"150","Ginkgo_biloba",126.810278,36.077222,126,242,4,1238,271,33,74,651,107,651,107,94,26,9299,299,-54,353,242,4,-54,89,28,-25,-37,2,59,118,172,218,219,162
